id,date,category,energy,range,color,papers,transmission,price,offer,wilaya,town,brand,model,year,volume,horses,radar de recul,toit ouvrant,alarme,direction assisstée,climatisation,jantes alliage,esp,vitres éléctriques,retroviseurs électriques,phares antibrouillard,phares xénon,feux du jour,abs
27661724,27-07-2021,moyenne berline,diesel,56000,blanc,carte grise (safia),manuelle,410.0,négociable,alger,birkhadem,volkswagen,golf,2018,2.0,143.0,1,1,1,1,1,1,1,1,1,1,1,1,1
27661710,27-07-2021,commerciale,essence,2,gris,carte grise (safia),manuelle,138.0,fixe,boumerdes,beni amrane,chery,yoki,2021,1.3,,0,0,0,0,0,0,0,0,0,0,0,0,0
27661707,27-07-2021,citadine,diesel,10,gris,carte grise (safia),manuelle,305.0,négociable,alger,ain naadja,dacia,sandero,2021,1.5,90.0,1,0,1,1,1,0,0,1,1,1,0,0,1
27661699,27-07-2021,citadine,essence,277000,blanc,carte grise (safia),manuelle,150.0,offert,blida,blida,renault,clio,2012,1.2,75.0,0,0,0,1,1,1,1,1,1,0,0,0,1
27661693,27-07-2021,mini citadine,essence,18000,bleu,carte grise (safia),manuelle,63.0,fixe,alger,bourouba,suzuki,maruti,2013,0.8,47.0,0,0,1,0,0,0,0,0,0,0,0,0,0
27661688,27-07-2021,moyenne berline,diesel,3000,blanc,carte grise (safia),manuelle,11.0,négociable,setif,setif,seat,leon,2011,2.0,143.0,1,1,0,1,1,1,1,1,1,1,0,0,1
27661680,27-07-2021,berline,diesel,87000,gris,carte grise (safia),manuelle,220.0,fixe,boumerdes,beni amrane,renault,symbol,2019,1.5,85.0,1,0,0,1,1,1,1,1,1,1,1,1,1
27661664,27-07-2021,camionnette,essence,61000,gris,carte grise (safia),manuelle,105.0,offert,tipaza,cherchell,chery,yoki,2019,1.2,,1,0,1,1,1,0,1,0,0,0,0,0,1
27661657,27-07-2021,citadine,diesel,150,blanc,carte grise (safia),automatique,224.0,offert,alger,bab ezzouar,peugeot,208,2016,1.6,115.0,1,1,1,1,1,1,1,1,1,1,1,1,1
27661654,27-07-2021,mini citadine,essence,84,noir,carte grise (safia),manuelle,85.0,offert,jijel,el milia,chery,qq,2018,1.1,68.0,0,0,1,0,1,1,0,0,0,1,0,1,0
27661635,27-07-2021,berline,essence,429000,gris,carte grise (safia),manuelle,429.0,négociable,setif,ain oulmene,renault,25,1992,2.0,140.0,0,0,0,1,1,1,0,1,1,0,0,0,1
